gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000141956	972.447092	1078.407734	939.136804	1168.181462	1230.023892	1063.744382
ENSG00000141959	7056.707391	7010.926515	7245.354946	7507.343663	7536.300055	7380.244607
ENSG00000142149	0.498219	1.495028	2.550401	0.905788	1.316788	0
ENSG00000142156	200.188416	235.63332	205.188612	57.24306	69.223411	67.636173
ENSG00000142166	4657.745309	5030.507093	5535.088997	5200.566447	5290.437262	5744.541584
ENSG00000142168	69307.152223	64445.69245	66170.010827	71705.639745	68186.516116	73349.820974
ENSG00000142173	1.685415	5.01319	20.760603	7.542649	0	0
ENSG00000142178	19209.102997	20757.595798	19068.440086	16026.678028	19852.466711	16214.968121
ENSG00000142182	1443.379054	1217.770015	1347.314887	2675.150529	2266.005932	2861.117194
ENSG00000142185	1302.792177	1181.010164	1088.50725	1273.023807	1231.334499	1324.779008
ENSG00000142188	2774.051219	2992.476054	2979.239725	2974.416812	2735.971816	2644.277419
ENSG00000142192	24483.370801	24112.105255	24853.161123	21773.212159	22615.834637	22673.673843
ENSG00000142197	134.679083	153.837177	153.840284	301.26354	273.453458	268.466427
ENSG00000142207	1725.558645	1841.484083	1598.739623	1356.622889	1454.322931	1321.98
ENSG00000154639	6590.539386	6438.96022	6774.840412	7345.747141	7539.08018	7559.501587
ENSG00000154640	10146.164199	9997.979327	9959.19612	7403.481343	7515.602933	7382.767888
ENSG00000154642	903.966646	860.484841	1008.183762	983.530028	1204.084799	1204.076041
ENSG00000154645	18.259739	11.640603	9.534957	3.360933	6.219474	0
ENSG00000154646	0	0	0	0	0	0
ENSG00000154654	228.76769	140.78489	168.080647	69.057318	59.976079	120.731036
ENSG00000154719	12790.826961	12989.952171	12642.383523	12638.528475	12286.945805	12913.110758
ENSG00000154721	1.026634	1.013632	2.078444	4.72929	4.654526	6.010249
ENSG00000154723	54962.165206	54359.341374	58402.010108	56266.165255	53691.243562	57556.165103
ENSG00000154727	2647.231843	2597.608635	2837.191546	3044.103427	3239.388954	3409.965403
ENSG00000154734	382.276648	327.353983	296.570361	544.218038	639.313529	587.71073
ENSG00000154736	4.591341	3.077765	3.181703	36.36297	34.601459	36.863386
ENSG00000155304	3801.754452	4058.628093	4154.424912	4268.678198	4421.851775	4431.192915
ENSG00000155307	0	0	0	0	0	0
ENSG00000155313	2937.039824	2781.365259	2921.581261	3380.014796	3184.348709	3256.756168
ENSG00000156239	692.920453	620.567148	584.420117	627.56481	756.596734	687.45758
ENSG00000156253	2379.543322	2629.180805	2519.719641	2912.17941	3073.271247	2964.827837
ENSG00000156256	4303.128984	4061.17271	3875.214778	5102.712503	4801.680314	4956.945925
ENSG00000156261	69990.129593	69127.127011	68514.47544	64898.440035	67086.765091	64557.620226
ENSG00000156265	8.042944	18.141295	35.613027	12.742744	13.66762	4.013847
ENSG00000156273	1961.787203	2029.000949	1946.255585	1713.858515	1695.841369	1785.750099
ENSG00000156282	0	0	0	0	0	0
ENSG00000156284	0	0	0	0	0	0
ENSG00000156299	4.370067	3.347121	4.447796	3.026348	7.27687	4.294088
ENSG00000156304	1729.468972	1772.173805	1637.933331	1797.899163	1866.925625	1795.438132
ENSG00000157538	3944.393829	3967.442958	4242.635324	3999.275601	3996.893297	4449.862917
ENSG00000157540	3429.7449	3188.745397	3402.235599	3614.113832	3381.157851	3414.840682
ENSG00000157542	0.451913	0	1.139861	0.407353	0.590109	0.675235
ENSG00000157551	33.974688	25.964591	3.567484	28.315214	24.290186	22.78606
ENSG00000157554	954.791552	862.065919	828.881196	1108.921148	1049.339739	1015.445328
ENSG00000157557	11794.408386	12028.613026	12209.318881	7935.624699	8100.4484	7134.628663
ENSG00000157578	436.333207	390.090398	443.282559	500.139182	414.839858	485.935848
ENSG00000157601	38.159537	76.69643	75.524685	38.86955	45.291214	26.57471
ENSG00000157617	1723.658475	1848.760478	1574.170412	1987.991831	2165.953373	1784.958482
ENSG00000159055	3336.117368	3355.010686	3219.045115	3568.211396	3832.746742	3662.753786
ENSG00000159079	14087.748786	14047.056496	12841.406247	13353.431547	13910.692104	11887.442822
ENSG00000159082	557.425002	701.281533	773.27245	598.565701	623.102741	647.309043
ENSG00000159086	4273.356102	4355.011565	4223.598513	4510.135957	5038.656659	4690.601599
ENSG00000159110	3165.733862	3619.955813	3506.530277	3005.27628	3040.085152	3159.799344
ENSG00000159128	4970.402495	5036.224393	4740.356042	4487.570195	4756.351061	4764.047887
ENSG00000159131	23642.664224	23154.800006	22708.554602	23261.06369	24552.247275	23699.443272
ENSG00000159140	22966.434929	26308.387699	22537.794395	23686.932303	23901.558553	23769.210847
ENSG00000159147	7101.257239	7322.874702	7507.116175	7203.270575	8636.531013	8136.875337
ENSG00000159197	9.565198	9.539578	9.779851	4.318971	12.655969	19.20382
ENSG00000159200	1299.71183	1244.322289	1272.137541	1250.38909	1253.205102	1303.644634
ENSG00000159212	1.860333	0.934828	1.933524	0	0	0
ENSG00000159216	872.79203	834.609126	771.338877	747.966162	655.52203	538.556109
ENSG00000159228	10433.06579	10930.881942	10452.282237	14524.745518	14383.908283	14155.294656
ENSG00000159231	935.648787	763.424776	846.247166	1060.322566	823.372278	804.254073
