Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
KO_1_SRR10045016_1	0.24652828251963177	3.1762395388645466
KO_1_SRR10045016_2	0.468285070947339	1.540282602697868
KO_2_SRR10045017_1	0.2900160357403583	5.745786718413646
KO_2_SRR10045017_2	0.5378524587095285	2.8383884392919314
KO_3_SRR10045018_1	0.20931795728530248	2.655270466770023
KO_3_SRR10045018_2	0.3596900530362382	1.5940945870556693
WT_1_SRR10045019_1	0.2510997438998845	3.3490326983762313
WT_1_SRR10045019_2	0.4054355391279081	1.7589145139165752
WT_2_SRR10045020_1	0.38860280692298826	8.555705919455722
WT_2_SRR10045020_2	0.69792283012199	3.930160850317619
WT_3_SRR10045021_1	0.31672969386725913	6.657218044423368
WT_3_SRR10045021_2	0.5949488294231144	2.3323775554178727
