Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
KO_1_SRR10045016_1	(1, 0.20677522613259128)	(2, 0.0005933291998065747)	(3, 0.0)	(4, 0.0014833229995164369)	(5, 0.0539929571823983)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00014833229995164367)	(10, 0.00014833229995164367)	(12, 0.0)	(14, 0.0)	(16, 0.0003708307498791092)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0006674953497823966)	(26, 0.0)	(28, 0.0006674953497823966)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.00022265433656429518)	(72, 0.00014847192692805645)	(74, 0.002301965953180983)	(76, 0.13013714910508425)
KO_1_SRR10045016_2	(1, 0.016019888394777516)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0017799875994197242)	(7, 0.03040812149008695)	(8, 0.25112658381813274)	(9, 0.07253449467635376)	(10, 0.08106360192357327)	(12, 0.01090242404644581)	(14, 0.0028183136990812298)	(16, 0.0)	(18, 0.0)	(20, 0.00014833229995164367)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0016316552994680802)	(30, 0.00022249844992746552)	(32, 0.0012608245495889711)	(34, 0.0003708307498791092)	(36, 0.0)	(38, 0.0)	(40, 0.00014833978116915482)	(42, 0.0)	(44, 0.004005286978812032)	(46, 0.0038570002329034758)	(48, 0.0006675706067178372)	(50, 0.0008159347608235601)	(52, 0.0002225334393581542)	(54, 0.0008901476235654716)	(56, 0.0025963216798052906)	(58, 0.00994043896681748)	(60, 0.0)	(62, 0.0)	(64, 0.006454915752220269)	(66, 0.0002226127013902905)	(68, 0.0015596429754423072)	(70, 0.0)	(72, 0.0005958472426424038)	(74, 0.0)	(76, 0.0)
KO_2_SRR10045017_1	(1, 0.04579857363025451)	(2, 0.00024958350752182296)	(3, 0.002121459813935495)	(4, 0.01859397131037581)	(5, 0.06102316758908571)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 6.239587688045574e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0015598969220113935)	(24, 0.00024958350752182296)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 6.243413199074976e-05)	(72, 6.244575025446644e-05)	(74, 0.0)	(76, 0.1869399455424945)
KO_2_SRR10045017_2	(1, 0.022836890938246802)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.012978342391134793)	(7, 0.01609813623515758)	(8, 0.3812388077395846)	(9, 0.0642677531868694)	(10, 0.07237921718132866)	(12, 0.04030773646477441)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 6.239587688045574e-05)	(22, 0.0)	(24, 0.0024958350752182297)	(26, 0.0)	(28, 0.0)	(30, 0.003119793844022787)	(32, 0.0028078144596205084)	(34, 0.0006863546456850131)	(36, 0.0)	(38, 6.23975120863981e-05)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.008049881810262415)	(48, 0.0004992243301969564)	(50, 0.0)	(52, 0.00031202883645695004)	(54, 0.0)	(56, 0.002496391154537222)	(58, 0.0028709376232630827)	(60, 0.0)	(62, 0.0)	(64, 0.001747742135628535)	(66, 0.00018727819239088705)	(68, 0.00043730075484357437)	(70, 0.0)	(72, 0.0003131619460634917)	(74, 0.0)	(76, 0.0)
KO_3_SRR10045018_1	(1, 0.044810884533778836)	(2, 0.00556376754278462)	(3, 0.0)	(4, 0.0072178605960449135)	(5, 0.0834565131417693)	(6, 0.0)	(7, 0.0)	(8, 0.0006014883830037427)	(9, 0.0013533488617584212)	(10, 0.0)	(12, 0.0)	(14, 0.00030074419150187136)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.003987987879526649)	(74, 0.0005268608726020303)	(76, 0.19800310480914154)
KO_3_SRR10045018_2	(1, 0.1993933989657407)	(2, 0.0018044651490112284)	(3, 0.0)	(4, 0.0)	(5, 0.0021052093405130997)	(6, 0.011277907181320178)	(7, 0.01714241891560667)	(8, 0.40916247253829596)	(9, 0.08781730391854645)	(10, 0.08097537356187887)	(12, 0.06736669889641919)	(14, 0.00022555814362640355)	(16, 0.0)	(18, 0.0)	(20, 0.001879651196886696)	(22, 0.0)	(24, 0.0)	(26, 0.0006766744308792106)	(28, 0.0)	(30, 0.0020300232926376317)	(32, 0.0006766744308792106)	(34, 0.0010526046702565499)	(36, 0.0)	(38, 0.0004511234100719316)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00022559444135296505)	(54, 0.0)	(56, 0.0016544264178810408)	(58, 0.0002256095405762519)	(60, 0.0)	(62, 0.0)	(64, 0.003083764057451277)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
WT_1_SRR10045019_1	(1, 0.20677212495523317)	(2, 0.0008108710782558163)	(3, 0.0)	(4, 0.0010811614376744216)	(5, 0.05027400685186061)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0002702903594186054)	(10, 0.0002702903594186054)	(12, 0.0)	(14, 0.0)	(16, 0.0001351451797093027)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0002702903594186054)	(26, 0.0)	(28, 0.0002702903594186054)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 6.761261218622678e-05)	(72, 6.762591776823651e-05)	(74, 0.0018263715881518539)	(76, 0.12084698444145824)
WT_1_SRR10045019_2	(1, 0.017433728182500052)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.000946016257965119)	(7, 0.025001858246221004)	(8, 0.24745082404773328)	(9, 0.07216752596476765)	(10, 0.07804634128212232)	(12, 0.00952773516950584)	(14, 0.0031083391333139626)	(16, 0.0)	(18, 0.0)	(20, 6.757258985465135e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.001959605105784889)	(30, 0.00033786294927325676)	(32, 0.0012163066173837246)	(34, 0.00040543553912790817)	(36, 0.0)	(38, 0.0)	(40, 6.757569491465866e-05)	(42, 0.0)	(44, 0.004257452907840336)	(46, 0.004325113365276098)	(48, 0.00047306566827283724)	(50, 0.0005406523240615965)	(52, 6.758277369164819e-05)	(54, 0.0008110064387152847)	(56, 0.0037847708929491073)	(58, 0.012503742674327517)	(60, 0.0)	(62, 0.0)	(64, 0.00743550208903811)	(66, 0.00013520547852598986)	(68, 0.0013531991997179933)	(70, 0.0)	(72, 0.000746405886021107)	(74, 0.0)	(76, 0.0)
WT_2_SRR10045020_1	(1, 0.042668197644559265)	(2, 9.76388962118061e-05)	(3, 0.0031244446787777953)	(4, 0.01933250144993761)	(5, 0.0685425051406879)	(6, 0.0)	(7, 0.0)	(8, 0.0001952777924236122)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.00014645834431770916)	(18, 0.0)	(20, 0.0)	(22, 0.001708680683706607)	(24, 0.0004881944810590305)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 4.885663265430757e-05)	(74, 0.0)	(76, 0.19572169196612313)
WT_2_SRR10045020_2	(1, 0.023433335090833465)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.012693056507534793)	(7, 0.015622223393888976)	(8, 0.38313502873512717)	(9, 0.06317236584903856)	(10, 0.07000708858386498)	(12, 0.04530444784227804)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00014645834431770916)	(22, 0.0)	(24, 0.002050416820447928)	(26, 0.0)	(28, 0.0)	(30, 0.003612639159836826)	(32, 0.0030756252306718924)	(34, 0.0007322917215885458)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 9.764633279432558e-05)	(46, 0.009032382801171378)	(48, 0.0009764876423047648)	(50, 0.0)	(52, 0.0003417816884113059)	(54, 0.0)	(56, 0.002294914031055558)	(58, 0.003222714472868895)	(60, 0.0)	(62, 0.0)	(64, 0.0017092572886393482)	(66, 0.00014652329525030087)	(68, 9.774855747566306e-05)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
