Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
KO_1_SRR10045016_1	(1, 33.154775855061544)	(2, 33.3073638086988)	(3, 33.32671969051949)	(4, 33.32750585170923)	(5, 33.31149782989845)	(6, 36.83917663706943)	(7, 37.24554187272496)	(8, 37.39023409803578)	(9, 37.44488713395297)	(10, 37.433771853056086)	(12, 37.42706278312928)	(14, 37.41536084798609)	(16, 37.40106383925526)	(18, 37.39581955079046)	(20, 37.39843835754611)	(22, 37.3202546272261)	(24, 37.36760897232416)	(26, 37.3456913916833)	(28, 37.29265221118959)	(30, 37.29275604379956)	(32, 37.28297723692525)	(34, 37.285485536117434)	(36, 37.21737025847983)	(38, 37.02400785350985)	(40, 36.8229537691818)	(42, 36.697394117362165)	(44, 36.650699452413704)	(46, 36.54344425860409)	(48, 36.43303458801495)	(50, 36.38770125974139)	(52, 36.277105961818144)	(54, 36.058449755072346)	(56, 36.07680566629617)	(58, 36.08835205576396)	(60, 36.02575203488019)	(62, 36.01026427646022)	(64, 35.80771951182233)	(66, 35.68663925294718)	(68, 35.52375105749674)	(70, 35.38240754998213)	(72, 35.12126198442951)	(74, 34.31616601231494)	(76, 28.254397328325926)
KO_1_SRR10045016_2	(1, 32.71793871502695)	(2, 32.79645248471436)	(3, 32.785419528243956)	(4, 32.74961952765062)	(5, 32.74214654637906)	(6, 36.87256178781954)	(7, 36.952438731343506)	(8, 36.82580003025979)	(9, 36.84886125293327)	(10, 36.8027573491238)	(12, 36.81845387310469)	(14, 36.79976251998778)	(16, 36.80303769717071)	(18, 36.807804355629656)	(20, 36.792598069900116)	(22, 36.76147572838576)	(24, 36.72805720286816)	(26, 36.69134199198412)	(28, 36.67812261741243)	(30, 36.64898644539443)	(32, 36.60877504220054)	(34, 36.564420717869)	(36, 36.54891357293502)	(38, 36.48648738761247)	(40, 36.42320883574875)	(42, 36.36935281936029)	(44, 36.28411798554645)	(46, 36.204989887598586)	(48, 36.146487966342995)	(50, 36.06717663294235)	(52, 36.013128741273185)	(54, 35.997873266565826)	(56, 35.91425382416493)	(58, 35.776737382811326)	(60, 35.664980308407394)	(62, 35.48569836313871)	(64, 35.235833361475684)	(66, 34.9738641736711)	(68, 34.83750548419596)	(70, 34.53541417520893)	(72, 33.9671070557645)	(74, 33.13371401415063)	(76, 25.794706083130503)
KO_2_SRR10045017_1	(1, 33.18025919247256)	(2, 33.25405354814154)	(3, 33.28955305833391)	(4, 33.27403769958881)	(5, 33.24631146773821)	(6, 36.76054583913095)	(7, 37.16075548927727)	(8, 37.340225997866064)	(9, 37.39849126769703)	(10, 37.3618449212876)	(12, 37.35943893627509)	(14, 37.35129128267204)	(16, 37.34099346715169)	(18, 37.3341767176025)	(20, 37.316274716566724)	(22, 37.30765347825816)	(24, 37.29370612789907)	(26, 37.240287769784175)	(28, 37.22258044388427)	(30, 37.1784703026824)	(32, 37.153262992381464)	(34, 37.10871795191774)	(36, 37.0334634822613)	(38, 36.83133856339529)	(40, 36.58860165905503)	(42, 36.41188698165996)	(44, 36.315356886027374)	(46, 36.20047889440346)	(48, 36.136473773616956)	(50, 36.00151622122067)	(52, 35.88354752404105)	(54, 35.68253231714813)	(56, 35.59746852494126)	(58, 35.461128055511)	(60, 35.34248607896265)	(62, 35.20504493159158)	(64, 34.92755003690502)	(66, 34.761844981865224)	(68, 34.492359044481745)	(70, 34.11168664092254)	(72, 33.598621862190825)	(74, 32.51602314182335)	(76, 23.01259345435279)
KO_2_SRR10045017_2	(1, 32.79635608079018)	(2, 32.875627546531724)	(3, 32.88471737787567)	(4, 32.85157892766446)	(5, 32.84236555248429)	(6, 37.00577286652898)	(7, 37.05854729919447)	(8, 36.89798523713553)	(9, 36.94834494936575)	(10, 36.92847435841439)	(12, 36.93433957084116)	(14, 36.93106129146986)	(16, 36.93304548035466)	(18, 36.91638702914511)	(20, 36.889054515277635)	(22, 36.85875445350571)	(24, 36.820833359331615)	(26, 36.7801362725951)	(28, 36.76844328526771)	(30, 36.72332732253053)	(32, 36.66793850262375)	(34, 36.62451845982018)	(36, 36.5552627002463)	(38, 36.53684623872198)	(40, 36.481832663092284)	(42, 36.41200029319213)	(44, 36.33001283863047)	(46, 36.19142669663991)	(48, 36.140720071926665)	(50, 36.032259712524294)	(52, 35.93703058939025)	(54, 35.796937684583355)	(56, 35.69828041926121)	(58, 35.54125928424746)	(60, 35.40961104069558)	(62, 35.22876653764598)	(64, 34.992762641401455)	(66, 34.73001894243562)	(68, 34.459885196473124)	(70, 34.12819869640754)	(72, 33.596993951894206)	(74, 32.605901257745)	(76, 24.677325031239384)
KO_3_SRR10045018_1	(1, 33.34999857146509)	(2, 33.43010028315066)	(3, 33.501976641198645)	(4, 33.51161098137341)	(5, 33.48348087342128)	(6, 37.080949810305604)	(7, 37.45764093248744)	(8, 37.59348106890501)	(9, 37.639308468806064)	(10, 37.62612910647397)	(12, 37.60873932546085)	(14, 37.594195336359824)	(16, 37.56635093538962)	(18, 37.54620859316378)	(20, 37.524321182766755)	(22, 37.48954688376388)	(24, 37.43252954435751)	(26, 37.36878756482917)	(28, 37.26761947438938)	(30, 37.18439528613554)	(32, 37.01884312731855)	(34, 36.894901934837755)	(36, 36.731303179849604)	(38, 36.30622815120155)	(40, 35.82214401627225)	(42, 35.32391826016624)	(44, 35.012608021424164)	(46, 34.81773763011098)	(48, 34.227418093560466)	(50, 33.722384749927144)	(52, 33.38726048318749)	(54, 32.79594835579756)	(56, 32.334447715456285)	(58, 31.712481907460834)	(60, 30.997427010365797)	(62, 30.392103391504257)	(64, 29.547872290418155)	(66, 28.63776554579321)	(68, 27.555953779561747)	(70, 26.59443225134531)	(72, 24.932412658325397)	(74, 22.576296020113737)	(76, 12.937912851530797)
KO_3_SRR10045018_2	(1, 32.9259793358666)	(2, 33.030683426137976)	(3, 33.087259423443314)	(4, 33.01263125604308)	(5, 33.01661461285952)	(6, 37.2880242159223)	(7, 37.317212943428515)	(8, 37.19241914116481)	(9, 37.273701273802025)	(10, 37.268646515803354)	(12, 37.23359628400477)	(14, 37.24412308256781)	(16, 37.234899258214455)	(18, 37.22604835665855)	(20, 37.16432286693423)	(22, 37.086901537855425)	(24, 37.09105030397719)	(26, 37.02337759786592)	(28, 36.959413067635865)	(30, 36.82704652663014)	(32, 36.6753052929474)	(34, 36.622341985242485)	(36, 36.528392193715305)	(38, 36.398262231379206)	(40, 36.25818260960632)	(42, 36.101859243253465)	(44, 35.798683043980475)	(46, 35.44725737499837)	(48, 35.246946823153856)	(50, 35.03090133379686)	(52, 34.552540496697574)	(54, 34.11066845196045)	(56, 33.8586599975295)	(58, 33.672774250253724)	(60, 33.10967908552742)	(62, 32.543515818508865)	(64, 32.05306956898632)	(66, 31.34819493367813)	(68, 30.796889307897025)	(70, 29.76084817595008)	(72, 28.47881782471406)	(74, 27.00421058927997)	(76, 16.23959019613769)
WT_1_SRR10045019_1	(1, 33.18742879538344)	(2, 33.329635310732556)	(3, 33.35339788768084)	(4, 33.35488989046483)	(5, 33.33195305056457)	(6, 36.92962720202177)	(7, 37.31340032029408)	(8, 37.45238767746251)	(9, 37.49802485319855)	(10, 37.49266634682307)	(12, 37.48444276263776)	(14, 37.48030326578326)	(16, 37.46948286696984)	(18, 37.46103088743082)	(20, 37.46392840008379)	(22, 37.382216245802056)	(24, 37.42771624918068)	(26, 37.41477407104582)	(28, 37.35828744028272)	(30, 37.3614592976505)	(32, 37.35353370858645)	(34, 37.35657109650042)	(36, 37.29963788303178)	(38, 37.13994737436019)	(40, 36.96734613653966)	(42, 36.85941451708704)	(44, 36.81302138119031)	(46, 36.71447967770552)	(48, 36.632509816639875)	(50, 36.59032383646486)	(52, 36.48781421279887)	(54, 36.27624168208162)	(56, 36.29518307009472)	(58, 36.30626902388781)	(60, 36.25523958363176)	(62, 36.23625865043149)	(64, 36.05165182565409)	(66, 35.94225020728397)	(68, 35.803540526844536)	(70, 35.67598924793124)	(72, 35.45152136756356)	(74, 34.70435483881077)	(76, 28.698973274276643)
WT_1_SRR10045019_2	(1, 32.70158998303928)	(2, 32.771670867429336)	(3, 32.757102217056676)	(4, 32.71397739021143)	(5, 32.70600652751218)	(6, 36.81784727243241)	(7, 36.90076830034665)	(8, 36.77375886045584)	(9, 36.79629837352776)	(10, 36.75410199406713)	(12, 36.769117974984624)	(14, 36.75213563170236)	(16, 36.75640892228476)	(18, 36.761424835629676)	(20, 36.753076242153135)	(22, 36.72177121272527)	(24, 36.688774841373345)	(26, 36.65214779476853)	(28, 36.626195865908954)	(30, 36.60028785923278)	(32, 36.55779078174729)	(34, 36.50356107548534)	(36, 36.48900446676066)	(38, 36.43136095550804)	(40, 36.37363133319035)	(42, 36.316307238893415)	(44, 36.229100260247925)	(46, 36.14446684824447)	(48, 36.09011901195585)	(50, 35.99916130806835)	(52, 35.94031627183266)	(54, 35.92932549854933)	(56, 35.844677477727785)	(58, 35.70909633985419)	(60, 35.59206268797505)	(62, 35.408801015088784)	(64, 35.142038765382125)	(66, 34.88734082768829)	(68, 34.73943028851584)	(70, 34.41887587575967)	(72, 33.84080003456893)	(74, 32.99806362020138)	(76, 25.606977489429074)
WT_2_SRR10045020_1	(1, 33.217217252402406)	(2, 33.289080456403255)	(3, 33.3246327312919)	(4, 33.321463372720864)	(5, 33.28342814070155)	(6, 36.87663130185846)	(7, 37.26557096297338)	(8, 37.429753696120414)	(9, 37.48042730686538)	(10, 37.46116510542072)	(12, 37.45411264794734)	(14, 37.45233854920317)	(16, 37.44312827212351)	(18, 37.44152992339252)	(20, 37.4248571054754)	(22, 37.420539025290424)	(24, 37.40770585696683)	(26, 37.36163738476169)	(28, 37.33698502805166)	(30, 37.30287487966007)	(32, 37.28694704652103)	(34, 37.24436379471618)	(36, 37.186429555320885)	(38, 37.02876573108908)	(40, 36.84181451838106)	(42, 36.694953286846555)	(44, 36.61384683432855)	(46, 36.516704897664994)	(48, 36.45957648368241)	(50, 36.34088968654426)	(52, 36.24639965833693)	(54, 36.06702021840453)	(56, 35.987615958132686)	(58, 35.871823711684016)	(60, 35.76756900112005)	(62, 35.628038075950975)	(64, 35.3936984864154)	(66, 35.25627534452531)	(68, 35.01228339017647)	(70, 34.67259520423626)	(72, 34.22460845401483)	(74, 33.26845669804382)	(76, 23.694137441207726)
WT_2_SRR10045020_2	(1, 32.79970161553317)	(2, 32.87013440970453)	(3, 32.88337131486396)	(4, 32.85256917227602)	(5, 32.84370648966688)	(6, 36.98675137817302)	(7, 37.03401250949538)	(8, 36.87009828331293)	(9, 36.92780091819618)	(10, 36.91986775787897)	(12, 36.908913161918484)	(14, 36.90897760358999)	(16, 36.91186722672337)	(18, 36.899555938300026)	(20, 36.87549185593967)	(22, 36.84202612426307)	(24, 36.80450252005991)	(26, 36.77246817460178)	(28, 36.75694017274273)	(30, 36.71023997687911)	(32, 36.65613826448815)	(34, 36.618790410298175)	(36, 36.55094513273718)	(38, 36.5305900473667)	(40, 36.476108300412065)	(42, 36.41325003220203)	(44, 36.32405638096867)	(46, 36.19138003619891)	(48, 36.13813293293916)	(50, 36.025748494785816)	(52, 35.935593098750815)	(54, 35.80557427406953)	(56, 35.71271867285627)	(58, 35.55930873846329)	(60, 35.42988763019966)	(62, 35.25503549551587)	(64, 35.02572637979344)	(66, 34.77684080963385)	(68, 34.50639937288815)	(70, 34.1907936049477)	(72, 33.667877640927)	(74, 32.67462060026625)	(76, 24.74291605348121)
