Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
KO_1_SRR10045016_1	(0.0, 0.0)	(1.0, 0.5)	(2.0, 1.0)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 2.5)	(8.0, 5.0)	(9.0, 4.0)	(10.0, 4.0)	(11.0, 8.0)	(12.0, 11.0)	(13.0, 11.0)	(14.0, 19.0)	(15.0, 48.0)	(16.0, 118.5)	(17.0, 168.5)	(18.0, 237.5)	(19.0, 352.5)	(20.0, 540.5)	(21.0, 682.0)	(22.0, 914.0)	(23.0, 1545.5)	(24.0, 2196.5)	(25.0, 2449.0)	(26.0, 2760.0)	(27.0, 3693.0)	(28.0, 4737.5)	(29.0, 5162.0)	(30.0, 5761.5)	(31.0, 6832.0)	(32.0, 7904.0)	(33.0, 8503.0)	(34.0, 9468.0)	(35.0, 11511.5)	(36.0, 13714.5)	(37.0, 14841.5)	(38.0, 15297.5)	(39.0, 16424.5)	(40.0, 18248.0)	(41.0, 21149.0)	(42.0, 22898.5)	(43.0, 23495.0)	(44.0, 24608.0)	(45.0, 27112.0)	(46.0, 29103.5)	(47.0, 27918.5)	(48.0, 25502.5)	(49.0, 25414.5)	(50.0, 26558.0)	(51.0, 30274.0)	(52.0, 29933.0)	(53.0, 23886.5)	(54.0, 21891.0)	(55.0, 22110.0)	(56.0, 24213.0)	(57.0, 24165.5)	(58.0, 22245.5)	(59.0, 21204.5)	(60.0, 21728.5)	(61.0, 21077.0)	(62.0, 18853.5)	(63.0, 19212.0)	(64.0, 16925.5)	(65.0, 13923.0)	(66.0, 12209.0)	(67.0, 10856.5)	(68.0, 10701.5)	(69.0, 8683.5)	(70.0, 6354.0)	(71.0, 5883.5)	(72.0, 6636.5)	(73.0, 6769.5)	(74.0, 6878.0)	(75.0, 7608.0)	(76.0, 7497.5)	(77.0, 6880.5)	(78.0, 5696.0)	(79.0, 5017.0)	(80.0, 5453.5)	(81.0, 4753.5)	(82.0, 3360.5)	(83.0, 3103.0)	(84.0, 3360.5)	(85.0, 3301.5)	(86.0, 2445.0)	(87.0, 1906.5)	(88.0, 2158.5)	(89.0, 2302.5)	(90.0, 1571.0)	(91.0, 649.5)	(92.0, 353.0)	(93.0, 248.0)	(94.0, 144.0)	(95.0, 77.5)	(96.0, 8.5)	(97.0, 4.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
KO_1_SRR10045016_2	(0.0, 0.0)	(1.0, 0.5)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 1.0)	(5.0, 0.5)	(6.0, 0.5)	(7.0, 4.0)	(8.0, 7.0)	(9.0, 4.0)	(10.0, 3.0)	(11.0, 8.5)	(12.0, 12.5)	(13.0, 15.0)	(14.0, 23.0)	(15.0, 40.0)	(16.0, 108.0)	(17.0, 165.5)	(18.0, 260.5)	(19.0, 372.0)	(20.0, 516.0)	(21.0, 643.0)	(22.0, 818.0)	(23.0, 1246.0)	(24.0, 1754.5)	(25.0, 2013.5)	(26.0, 2477.5)	(27.0, 3241.5)	(28.0, 4178.5)	(29.0, 4815.0)	(30.0, 5366.0)	(31.0, 6495.5)	(32.0, 7817.0)	(33.0, 8564.0)	(34.0, 9636.5)	(35.0, 11769.0)	(36.0, 13455.5)	(37.0, 14072.5)	(38.0, 14538.5)	(39.0, 15409.5)	(40.0, 16571.5)	(41.0, 19027.0)	(42.0, 20733.0)	(43.0, 21702.0)	(44.0, 23416.0)	(45.0, 24060.0)	(46.0, 23917.0)	(47.0, 23949.0)	(48.0, 23423.0)	(49.0, 23275.5)	(50.0, 23679.5)	(51.0, 24912.0)	(52.0, 25280.0)	(53.0, 23486.5)	(54.0, 22575.5)	(55.0, 22110.5)	(56.0, 22314.5)	(57.0, 23094.5)	(58.0, 23225.5)	(59.0, 26090.5)	(60.0, 25038.0)	(61.0, 19498.0)	(62.0, 17871.0)	(63.0, 17883.0)	(64.0, 17331.5)	(65.0, 17255.0)	(66.0, 14739.0)	(67.0, 11734.0)	(68.0, 11960.0)	(69.0, 11563.5)	(70.0, 9846.0)	(71.0, 8752.5)	(72.0, 8617.5)	(73.0, 7965.0)	(74.0, 8122.5)	(75.0, 8793.5)	(76.0, 8046.0)	(77.0, 6481.0)	(78.0, 5250.5)	(79.0, 4835.0)	(80.0, 5650.0)	(81.0, 6211.5)	(82.0, 5383.5)	(83.0, 4807.5)	(84.0, 4128.5)	(85.0, 3476.0)	(86.0, 3196.0)	(87.0, 2894.0)	(88.0, 2437.5)	(89.0, 1989.5)	(90.0, 2097.0)	(91.0, 2825.0)	(92.0, 3455.5)	(93.0, 2657.5)	(94.0, 1470.0)	(95.0, 825.5)	(96.0, 569.5)	(97.0, 328.5)	(98.0, 57.5)	(99.0, 15.5)	(100.0, 4.0)
KO_2_SRR10045017_1	(0.0, 0.0)	(1.0, 0.5)	(2.0, 0.5)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.5)	(6.0, 1.5)	(7.0, 2.0)	(8.0, 2.0)	(9.0, 2.5)	(10.0, 1.5)	(11.0, 3.0)	(12.0, 6.0)	(13.0, 12.5)	(14.0, 32.5)	(15.0, 64.5)	(16.0, 112.0)	(17.0, 142.0)	(18.0, 222.5)	(19.0, 350.5)	(20.0, 530.5)	(21.0, 662.0)	(22.0, 922.0)	(23.0, 1594.0)	(24.0, 2272.0)	(25.0, 2537.0)	(26.0, 2844.5)	(27.0, 3778.5)	(28.0, 4909.0)	(29.0, 5413.5)	(30.0, 5912.5)	(31.0, 6963.5)	(32.0, 8052.5)	(33.0, 8588.5)	(34.0, 9682.5)	(35.0, 11815.5)	(36.0, 13979.5)	(37.0, 15108.0)	(38.0, 15595.5)	(39.0, 16780.0)	(40.0, 18695.0)	(41.0, 21985.5)	(42.0, 24063.5)	(43.0, 25017.0)	(44.0, 26993.0)	(45.0, 30375.0)	(46.0, 32733.5)	(47.0, 31576.0)	(48.0, 28651.0)	(49.0, 28316.0)	(50.0, 29737.5)	(51.0, 34924.5)	(52.0, 34833.0)	(53.0, 27532.0)	(54.0, 25511.5)	(55.0, 25843.0)	(56.0, 29549.0)	(57.0, 30158.5)	(58.0, 27406.0)	(59.0, 25582.0)	(60.0, 26611.0)	(61.0, 26436.0)	(62.0, 23402.0)	(63.0, 24454.0)	(64.0, 22316.5)	(65.0, 18076.0)	(66.0, 15332.0)	(67.0, 13641.5)	(68.0, 13643.5)	(69.0, 10953.5)	(70.0, 7883.5)	(71.0, 7505.0)	(72.0, 8867.0)	(73.0, 9319.5)	(74.0, 9664.0)	(75.0, 10915.5)	(76.0, 11159.0)	(77.0, 10598.5)	(78.0, 8799.5)	(79.0, 7805.5)	(80.0, 9109.5)	(81.0, 8329.5)	(82.0, 5686.0)	(83.0, 5123.5)	(84.0, 5490.0)	(85.0, 5571.0)	(86.0, 4362.0)	(87.0, 3440.0)	(88.0, 3708.5)	(89.0, 3937.5)	(90.0, 2778.5)	(91.0, 1116.0)	(92.0, 571.5)	(93.0, 424.0)	(94.0, 271.5)	(95.0, 140.5)	(96.0, 15.0)	(97.0, 7.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
KO_2_SRR10045017_2	(0.0, 0.0)	(1.0, 0.5)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 1.0)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.0)	(9.0, 2.0)	(10.0, 3.5)	(11.0, 4.0)	(12.0, 4.5)	(13.0, 12.0)	(14.0, 30.5)	(15.0, 54.0)	(16.0, 114.5)	(17.0, 163.5)	(18.0, 261.0)	(19.0, 393.5)	(20.0, 521.0)	(21.0, 611.5)	(22.0, 805.5)	(23.0, 1259.0)	(24.0, 1829.5)	(25.0, 2140.5)	(26.0, 2545.5)	(27.0, 3342.0)	(28.0, 4306.5)	(29.0, 4880.5)	(30.0, 5483.0)	(31.0, 6744.0)	(32.0, 8149.0)	(33.0, 8891.0)	(34.0, 9917.0)	(35.0, 12061.0)	(36.0, 13926.0)	(37.0, 14680.5)	(38.0, 15030.5)	(39.0, 15622.0)	(40.0, 16886.0)	(41.0, 19863.5)	(42.0, 21838.0)	(43.0, 23248.5)	(44.0, 25678.0)	(45.0, 26728.5)	(46.0, 26703.5)	(47.0, 27340.0)	(48.0, 26779.0)	(49.0, 26000.5)	(50.0, 26383.5)	(51.0, 27898.5)	(52.0, 29233.0)	(53.0, 28229.5)	(54.0, 27457.0)	(55.0, 26478.5)	(56.0, 26210.5)	(57.0, 27417.0)	(58.0, 27934.5)	(59.0, 31629.0)	(60.0, 30504.5)	(61.0, 23403.0)	(62.0, 21115.0)	(63.0, 21070.5)	(64.0, 20836.5)	(65.0, 21798.5)	(66.0, 18603.0)	(67.0, 14249.5)	(68.0, 15126.0)	(69.0, 15168.0)	(70.0, 13061.5)	(71.0, 11799.5)	(72.0, 11873.5)	(73.0, 11085.0)	(74.0, 11225.0)	(75.0, 12206.0)	(76.0, 11190.0)	(77.0, 8972.5)	(78.0, 7244.0)	(79.0, 6726.5)	(80.0, 8178.5)	(81.0, 9570.0)	(82.0, 8550.0)	(83.0, 7589.0)	(84.0, 6528.5)	(85.0, 5643.0)	(86.0, 5188.0)	(87.0, 4558.5)	(88.0, 3966.5)	(89.0, 3360.5)	(90.0, 3714.0)	(91.0, 4877.0)	(92.0, 5671.0)	(93.0, 4441.0)	(94.0, 2568.0)	(95.0, 1420.5)	(96.0, 916.5)	(97.0, 522.5)	(98.0, 83.5)	(99.0, 19.5)	(100.0, 1.0)
KO_3_SRR10045018_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.5)	(7.0, 2.0)	(8.0, 3.0)	(9.0, 1.5)	(10.0, 4.0)	(11.0, 5.5)	(12.0, 3.0)	(13.0, 8.5)	(14.0, 26.0)	(15.0, 62.5)	(16.0, 115.0)	(17.0, 141.5)	(18.0, 219.0)	(19.0, 346.0)	(20.0, 556.5)	(21.0, 719.5)	(22.0, 975.0)	(23.0, 1569.5)	(24.0, 2223.0)	(25.0, 2537.5)	(26.0, 2905.0)	(27.0, 3817.0)	(28.0, 4874.5)	(29.0, 5386.5)	(30.0, 5823.5)	(31.0, 6782.0)	(32.0, 7841.0)	(33.0, 8377.5)	(34.0, 9355.5)	(35.0, 11508.5)	(36.0, 13599.0)	(37.0, 14517.0)	(38.0, 14991.0)	(39.0, 15946.0)	(40.0, 17913.0)	(41.0, 20622.0)	(42.0, 21844.5)	(43.0, 22512.5)	(44.0, 23381.5)	(45.0, 25034.0)	(46.0, 26483.5)	(47.0, 25389.0)	(48.0, 23654.0)	(49.0, 24019.0)	(50.0, 25034.5)	(51.0, 27146.5)	(52.0, 27108.0)	(53.0, 23043.0)	(54.0, 21117.0)	(55.0, 21435.5)	(56.0, 23517.5)	(57.0, 23819.0)	(58.0, 22365.5)	(59.0, 20815.5)	(60.0, 20474.0)	(61.0, 20516.5)	(62.0, 19347.0)	(63.0, 19736.0)	(64.0, 17994.5)	(65.0, 14542.0)	(66.0, 12132.0)	(67.0, 11040.5)	(68.0, 11087.0)	(69.0, 9298.5)	(70.0, 6718.5)	(71.0, 5977.5)	(72.0, 6750.0)	(73.0, 6988.5)	(74.0, 6890.0)	(75.0, 7325.5)	(76.0, 7868.0)	(77.0, 7761.0)	(78.0, 6206.0)	(79.0, 5301.5)	(80.0, 6464.5)	(81.0, 6260.5)	(82.0, 4406.5)	(83.0, 3918.5)	(84.0, 3898.5)	(85.0, 3943.0)	(86.0, 3269.5)	(87.0, 2531.0)	(88.0, 2610.0)	(89.0, 2709.5)	(90.0, 2042.5)	(91.0, 921.0)	(92.0, 486.5)	(93.0, 358.0)	(94.0, 224.0)	(95.0, 119.0)	(96.0, 20.0)	(97.0, 10.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
KO_3_SRR10045018_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 3.0)	(8.0, 6.0)	(9.0, 3.5)	(10.0, 4.5)	(11.0, 10.5)	(12.0, 13.0)	(13.0, 16.0)	(14.0, 27.0)	(15.0, 60.5)	(16.0, 133.0)	(17.0, 180.0)	(18.0, 239.0)	(19.0, 362.5)	(20.0, 533.0)	(21.0, 639.5)	(22.0, 828.0)	(23.0, 1277.5)	(24.0, 1818.5)	(25.0, 2099.0)	(26.0, 2475.5)	(27.0, 3267.0)	(28.0, 4221.5)	(29.0, 4760.5)	(30.0, 5286.0)	(31.0, 6437.5)	(32.0, 7793.0)	(33.0, 8517.5)	(34.0, 9590.0)	(35.0, 11639.5)	(36.0, 13338.0)	(37.0, 14067.5)	(38.0, 14332.0)	(39.0, 14851.0)	(40.0, 15976.5)	(41.0, 18469.0)	(42.0, 20107.0)	(43.0, 20911.5)	(44.0, 22258.5)	(45.0, 22689.0)	(46.0, 22532.0)	(47.0, 22773.5)	(48.0, 22763.5)	(49.0, 22510.5)	(50.0, 22519.0)	(51.0, 23847.0)	(52.0, 24563.5)	(53.0, 23250.5)	(54.0, 22572.5)	(55.0, 21645.5)	(56.0, 21100.5)	(57.0, 21875.5)	(58.0, 22244.5)	(59.0, 24142.5)	(60.0, 23799.5)	(61.0, 19619.5)	(62.0, 17702.5)	(63.0, 17609.0)	(64.0, 17132.0)	(65.0, 16652.5)	(66.0, 14445.5)	(67.0, 12336.5)	(68.0, 12253.0)	(69.0, 11740.0)	(70.0, 10070.0)	(71.0, 8829.0)	(72.0, 8841.0)	(73.0, 8478.0)	(74.0, 8527.0)	(75.0, 8952.0)	(76.0, 8351.0)	(77.0, 6811.0)	(78.0, 5410.5)	(79.0, 4945.0)	(80.0, 5626.0)	(81.0, 6490.0)	(82.0, 6156.0)	(83.0, 5639.0)	(84.0, 4956.5)	(85.0, 4153.5)	(86.0, 3638.5)	(87.0, 3243.0)	(88.0, 2892.5)	(89.0, 2513.0)	(90.0, 2608.0)	(91.0, 3197.0)	(92.0, 3659.5)	(93.0, 2930.5)	(94.0, 1770.0)	(95.0, 978.0)	(96.0, 618.0)	(97.0, 360.0)	(98.0, 59.0)	(99.0, 8.0)	(100.0, 0.0)
WT_1_SRR10045019_1	(0.0, 1.0)	(1.0, 1.5)	(2.0, 1.5)	(3.0, 0.5)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 1.5)	(10.0, 4.5)	(11.0, 10.0)	(12.0, 14.0)	(13.0, 14.0)	(14.0, 28.5)	(15.0, 71.5)	(16.0, 128.0)	(17.0, 156.5)	(18.0, 233.0)	(19.0, 374.0)	(20.0, 537.0)	(21.0, 634.0)	(22.0, 969.0)	(23.0, 1742.5)	(24.0, 2455.0)	(25.0, 2732.0)	(26.0, 2994.0)	(27.0, 4042.5)	(28.0, 5285.0)	(29.0, 5736.0)	(30.0, 6314.0)	(31.0, 7416.5)	(32.0, 8481.5)	(33.0, 9029.5)	(34.0, 10272.5)	(35.0, 12657.0)	(36.0, 14971.5)	(37.0, 16143.0)	(38.0, 16748.0)	(39.0, 18028.0)	(40.0, 19909.5)	(41.0, 22863.5)	(42.0, 24617.0)	(43.0, 25765.0)	(44.0, 27173.0)	(45.0, 29158.0)	(46.0, 30879.5)	(47.0, 30199.5)	(48.0, 28003.0)	(49.0, 27376.0)	(50.0, 28264.0)	(51.0, 32448.0)	(52.0, 31879.5)	(53.0, 25019.5)	(54.0, 22913.0)	(55.0, 23322.5)	(56.0, 26214.0)	(57.0, 26196.0)	(58.0, 23700.5)	(59.0, 22883.5)	(60.0, 24078.5)	(61.0, 23687.0)	(62.0, 21282.5)	(63.0, 21612.0)	(64.0, 19227.5)	(65.0, 15789.0)	(66.0, 13760.5)	(67.0, 12456.0)	(68.0, 12189.5)	(69.0, 9776.5)	(70.0, 7144.0)	(71.0, 6662.0)	(72.0, 7581.0)	(73.0, 7661.5)	(74.0, 7582.5)	(75.0, 8345.0)	(76.0, 8232.0)	(77.0, 7671.0)	(78.0, 6542.5)	(79.0, 5859.5)	(80.0, 6534.5)	(81.0, 5735.5)	(82.0, 3960.0)	(83.0, 3656.5)	(84.0, 4073.5)	(85.0, 4003.5)	(86.0, 2884.0)	(87.0, 2251.5)	(88.0, 2486.5)	(89.0, 2647.5)	(90.0, 1848.5)	(91.0, 744.0)	(92.0, 364.0)	(93.0, 252.0)	(94.0, 139.5)	(95.0, 76.5)	(96.0, 14.0)	(97.0, 7.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.0)
WT_1_SRR10045019_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 2.0)	(4.0, 4.0)	(5.0, 2.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 4.0)	(9.0, 5.5)	(10.0, 7.5)	(11.0, 13.5)	(12.0, 19.0)	(13.0, 19.0)	(14.0, 28.5)	(15.0, 69.5)	(16.0, 132.0)	(17.0, 163.5)	(18.0, 260.5)	(19.0, 364.5)	(20.0, 505.0)	(21.0, 638.0)	(22.0, 874.0)	(23.0, 1376.0)	(24.0, 1949.5)	(25.0, 2257.5)	(26.0, 2726.5)	(27.0, 3622.5)	(28.0, 4630.5)	(29.0, 5210.0)	(30.0, 5812.5)	(31.0, 7112.0)	(32.0, 8667.5)	(33.0, 9534.0)	(34.0, 10500.5)	(35.0, 12667.5)	(36.0, 14768.5)	(37.0, 15668.5)	(38.0, 15925.0)	(39.0, 16473.5)	(40.0, 17825.0)	(41.0, 20744.5)	(42.0, 22630.5)	(43.0, 24029.5)	(44.0, 26044.0)	(45.0, 26371.0)	(46.0, 26021.5)	(47.0, 26378.0)	(48.0, 25870.5)	(49.0, 25227.0)	(50.0, 25456.5)	(51.0, 26553.0)	(52.0, 26951.5)	(53.0, 25357.5)	(54.0, 24491.0)	(55.0, 23919.0)	(56.0, 23993.5)	(57.0, 24950.0)	(58.0, 25257.5)	(59.0, 27944.0)	(60.0, 27113.5)	(61.0, 21579.5)	(62.0, 19557.5)	(63.0, 19641.5)	(64.0, 19245.0)	(65.0, 19432.5)	(66.0, 16640.0)	(67.0, 13164.0)	(68.0, 13438.5)	(69.0, 12940.0)	(70.0, 11122.0)	(71.0, 10085.0)	(72.0, 9938.5)	(73.0, 9018.0)	(74.0, 8963.5)	(75.0, 9678.5)	(76.0, 8868.5)	(77.0, 7198.0)	(78.0, 5808.0)	(79.0, 5285.0)	(80.0, 6171.0)	(81.0, 6947.5)	(82.0, 6244.5)	(83.0, 5645.5)	(84.0, 4821.5)	(85.0, 4100.5)	(86.0, 3647.5)	(87.0, 3091.0)	(88.0, 2716.5)	(89.0, 2253.5)	(90.0, 2416.0)	(91.0, 3270.5)	(92.0, 3872.5)	(93.0, 2992.0)	(94.0, 1732.0)	(95.0, 1013.5)	(96.0, 675.0)	(97.0, 388.5)	(98.0, 63.5)	(99.0, 12.5)	(100.0, 0.0)
WT_2_SRR10045020_1	(0.0, 2.0)	(1.0, 1.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 1.5)	(7.0, 3.5)	(8.0, 5.0)	(9.0, 2.5)	(10.0, 1.5)	(11.0, 8.0)	(12.0, 13.0)	(13.0, 16.5)	(14.0, 34.5)	(15.0, 69.5)	(16.0, 130.5)	(17.0, 171.0)	(18.0, 250.0)	(19.0, 393.5)	(20.0, 614.5)	(21.0, 771.0)	(22.0, 1094.5)	(23.0, 1977.0)	(24.0, 2866.5)	(25.0, 3198.0)	(26.0, 3486.0)	(27.0, 4631.0)	(28.0, 6057.0)	(29.0, 6626.0)	(30.0, 7185.0)	(31.0, 8471.5)	(32.0, 9802.5)	(33.0, 10404.0)	(34.0, 11541.0)	(35.0, 14048.0)	(36.0, 16595.5)	(37.0, 17769.0)	(38.0, 18434.5)	(39.0, 19663.5)	(40.0, 21683.5)	(41.0, 26134.0)	(42.0, 29123.0)	(43.0, 30410.0)	(44.0, 33599.0)	(45.0, 39371.0)	(46.0, 43247.0)	(47.0, 41923.5)	(48.0, 37038.0)	(49.0, 36095.0)	(50.0, 38702.5)	(51.0, 47113.5)	(52.0, 46503.5)	(53.0, 34589.0)	(54.0, 31698.0)	(55.0, 32751.5)	(56.0, 38412.5)	(57.0, 39392.0)	(58.0, 35775.0)	(59.0, 33679.0)	(60.0, 35616.5)	(61.0, 34885.5)	(62.0, 30115.5)	(63.0, 31716.0)	(64.0, 28520.5)	(65.0, 23680.5)	(66.0, 20584.5)	(67.0, 17531.5)	(68.0, 17561.5)	(69.0, 14038.5)	(70.0, 9802.5)	(71.0, 9121.5)	(72.0, 11015.0)	(73.0, 11888.5)	(74.0, 13225.0)	(75.0, 15583.5)	(76.0, 15367.5)	(77.0, 13904.0)	(78.0, 11517.5)	(79.0, 10378.5)	(80.0, 11866.0)	(81.0, 10614.0)	(82.0, 7213.5)	(83.0, 6551.0)	(84.0, 6902.5)	(85.0, 7020.5)	(86.0, 5534.0)	(87.0, 4282.5)	(88.0, 4763.5)	(89.0, 5136.5)	(90.0, 3523.5)	(91.0, 1364.0)	(92.0, 710.0)	(93.0, 511.0)	(94.0, 323.0)	(95.0, 184.5)	(96.0, 35.0)	(97.0, 17.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
WT_2_SRR10045020_2	(0.0, 1.0)	(1.0, 1.0)	(2.0, 0.5)	(3.0, 1.5)	(4.0, 3.0)	(5.0, 1.5)	(6.0, 0.5)	(7.0, 3.5)	(8.0, 6.0)	(9.0, 6.0)	(10.0, 6.5)	(11.0, 12.5)	(12.0, 18.0)	(13.0, 25.5)	(14.0, 37.0)	(15.0, 54.5)	(16.0, 140.5)	(17.0, 213.0)	(18.0, 332.5)	(19.0, 490.5)	(20.0, 681.5)	(21.0, 833.0)	(22.0, 1072.0)	(23.0, 1690.0)	(24.0, 2470.0)	(25.0, 2873.5)	(26.0, 3399.5)	(27.0, 4393.0)	(28.0, 5583.0)	(29.0, 6306.5)	(30.0, 7022.0)	(31.0, 8484.0)	(32.0, 10170.0)	(33.0, 11101.5)	(34.0, 12197.0)	(35.0, 14487.5)	(36.0, 16463.5)	(37.0, 17245.5)	(38.0, 17725.5)	(39.0, 18650.5)	(40.0, 20431.5)	(41.0, 24395.0)	(42.0, 27029.0)	(43.0, 28941.0)	(44.0, 32647.0)	(45.0, 34409.0)	(46.0, 34303.0)	(47.0, 35256.5)	(48.0, 33607.5)	(49.0, 32240.5)	(50.0, 33466.5)	(51.0, 35680.0)	(52.0, 37806.0)	(53.0, 36353.5)	(54.0, 35019.5)	(55.0, 33937.0)	(56.0, 33644.5)	(57.0, 35336.5)	(58.0, 36280.5)	(59.0, 43140.5)	(60.0, 41729.0)	(61.0, 30043.5)	(62.0, 26621.5)	(63.0, 26665.5)	(64.0, 27461.5)	(65.0, 28793.5)	(66.0, 23962.5)	(67.0, 18538.0)	(68.0, 19778.5)	(69.0, 20146.5)	(70.0, 17430.0)	(71.0, 15598.0)	(72.0, 15101.5)	(73.0, 13538.0)	(74.0, 14190.0)	(75.0, 15898.0)	(76.0, 15002.0)	(77.0, 12001.5)	(78.0, 9296.5)	(79.0, 8703.0)	(80.0, 10293.0)	(81.0, 12001.0)	(82.0, 10817.5)	(83.0, 9514.0)	(84.0, 8071.5)	(85.0, 6811.0)	(86.0, 6362.5)	(87.0, 5733.0)	(88.0, 4959.0)	(89.0, 4304.0)	(90.0, 4723.0)	(91.0, 6279.5)	(92.0, 7535.5)	(93.0, 5829.0)	(94.0, 3229.5)	(95.0, 1717.5)	(96.0, 1100.0)	(97.0, 636.5)	(98.0, 106.5)	(99.0, 21.0)	(100.0, 2.0)
