Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
KO_1_SRR10045016_1	(20.0, 1.0)	(21.0, 14.0)	(22.0, 102.0)	(23.0, 334.0)	(24.0, 665.0)	(25.0, 1235.0)	(26.0, 1912.0)	(27.0, 2781.0)	(28.0, 3976.0)	(29.0, 5295.0)	(30.0, 7455.0)	(31.0, 10290.0)	(32.0, 14029.0)	(33.0, 20394.0)	(34.0, 32651.0)	(35.0, 60697.0)	(36.0, 155427.0)	(37.0, 356904.0)
KO_1_SRR10045016_2	(20.0, 1.0)	(21.0, 79.0)	(22.0, 599.0)	(23.0, 1757.0)	(24.0, 3596.0)	(25.0, 5343.0)	(26.0, 6740.0)	(27.0, 7993.0)	(28.0, 9258.0)	(29.0, 11106.0)	(30.0, 12803.0)	(31.0, 15793.0)	(32.0, 19488.0)	(33.0, 24629.0)	(34.0, 34413.0)	(35.0, 54317.0)	(36.0, 120193.0)	(37.0, 346054.0)
KO_2_SRR10045017_1	(20.0, 3.0)	(21.0, 41.0)	(22.0, 307.0)	(23.0, 901.0)	(24.0, 1638.0)	(25.0, 2555.0)	(26.0, 3590.0)	(27.0, 4783.0)	(28.0, 6584.0)	(29.0, 9140.0)	(30.0, 12079.0)	(31.0, 16509.0)	(32.0, 22752.0)	(33.0, 33503.0)	(34.0, 53328.0)	(35.0, 97412.0)	(36.0, 222255.0)	(37.0, 313955.0)
KO_2_SRR10045017_2	(20.0, 5.0)	(21.0, 128.0)	(22.0, 923.0)	(23.0, 2556.0)	(24.0, 4653.0)	(25.0, 6383.0)	(26.0, 7802.0)	(27.0, 9233.0)	(28.0, 11197.0)	(29.0, 13110.0)	(30.0, 15814.0)	(31.0, 19168.0)	(32.0, 23802.0)	(33.0, 30649.0)	(34.0, 42294.0)	(35.0, 66912.0)	(36.0, 148624.0)	(37.0, 398082.0)
KO_3_SRR10045018_1	(20.0, 7.0)	(21.0, 146.0)	(22.0, 1901.0)	(23.0, 5517.0)	(24.0, 7514.0)	(25.0, 9619.0)	(26.0, 11854.0)	(27.0, 15240.0)	(28.0, 18639.0)	(29.0, 23161.0)	(30.0, 29298.0)	(31.0, 36892.0)	(32.0, 46283.0)	(33.0, 59662.0)	(34.0, 79895.0)	(35.0, 107513.0)	(36.0, 141285.0)	(37.0, 70591.0)
KO_3_SRR10045018_2	(20.0, 13.0)	(21.0, 264.0)	(22.0, 2037.0)	(23.0, 4669.0)	(24.0, 6412.0)	(25.0, 8013.0)	(26.0, 9679.0)	(27.0, 11912.0)	(28.0, 14208.0)	(29.0, 17239.0)	(30.0, 20837.0)	(31.0, 26474.0)	(32.0, 33241.0)	(33.0, 43515.0)	(34.0, 58079.0)	(35.0, 83929.0)	(36.0, 151907.0)	(37.0, 172589.0)
WT_1_SRR10045019_1	(20.0, 1.0)	(21.0, 13.0)	(22.0, 102.0)	(23.0, 319.0)	(24.0, 610.0)	(25.0, 1070.0)	(26.0, 1762.0)	(27.0, 2562.0)	(28.0, 3810.0)	(29.0, 5198.0)	(30.0, 7149.0)	(31.0, 9834.0)	(32.0, 13499.0)	(33.0, 19870.0)	(34.0, 31545.0)	(35.0, 58128.0)	(36.0, 155511.0)	(37.0, 428962.0)
WT_1_SRR10045019_2	(21.0, 77.0)	(22.0, 695.0)	(23.0, 2163.0)	(24.0, 4377.0)	(25.0, 6378.0)	(26.0, 7861.0)	(27.0, 9339.0)	(28.0, 10680.0)	(29.0, 12476.0)	(30.0, 14902.0)	(31.0, 17831.0)	(32.0, 21681.0)	(33.0, 28085.0)	(34.0, 37883.0)	(35.0, 59557.0)	(36.0, 130710.0)	(37.0, 375250.0)	
WT_2_SRR10045020_1	(21.0, 40.0)	(22.0, 352.0)	(23.0, 897.0)	(24.0, 1578.0)	(25.0, 2509.0)	(26.0, 3541.0)	(27.0, 4897.0)	(28.0, 6840.0)	(29.0, 9412.0)	(30.0, 12607.0)	(31.0, 17438.0)	(32.0, 24587.0)	(33.0, 35412.0)	(34.0, 56280.0)	(35.0, 104094.0)	(36.0, 260482.0)	(37.0, 483216.0)	
WT_2_SRR10045020_2	(20.0, 3.0)	(21.0, 147.0)	(22.0, 1222.0)	(23.0, 3274.0)	(24.0, 6163.0)	(25.0, 8468.0)	(26.0, 10387.0)	(27.0, 11973.0)	(28.0, 14498.0)	(29.0, 17024.0)	(30.0, 20230.0)	(31.0, 24298.0)	(32.0, 30155.0)	(33.0, 38416.0)	(34.0, 52646.0)	(35.0, 82504.0)	(36.0, 184971.0)	(37.0, 517803.0)
WT_3_SRR10045021_1	(20.0, 1.0)	(21.0, 152.0)	(22.0, 1867.0)	(23.0, 5489.0)	(24.0, 7499.0)	(25.0, 9596.0)	(26.0, 12279.0)	(27.0, 15344.0)	(28.0, 19362.0)	(29.0, 24389.0)	(30.0, 30343.0)	(31.0, 39063.0)	(32.0, 49533.0)	(33.0, 63693.0)	(34.0, 86928.0)	(35.0, 123630.0)	(36.0, 174411.0)	(37.0, 99848.0)
WT_3_SRR10045021_2	(20.0, 9.0)	(21.0, 332.0)	(22.0, 2412.0)	(23.0, 5559.0)	(24.0, 7823.0)	(25.0, 9688.0)	(26.0, 11543.0)	(27.0, 14007.0)	(28.0, 17017.0)	(29.0, 20314.0)	(30.0, 24845.0)	(31.0, 31291.0)	(32.0, 39080.0)	(33.0, 50626.0)	(34.0, 66505.0)	(35.0, 97094.0)	(36.0, 174494.0)	(37.0, 190788.0)
