Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KO_1_SRR10045016_1	(1.0, 19.76271587644257)	(2.0, 7.4840226305115705)	(3.0, 4.943771054751555)	(4.0, 3.704612507248648)	(5.0, 2.9501077656683377)	(6.0, 2.4942929827943505)	(7.0, 2.15228936920575)	(8.0, 1.8743695252551158)	(9.0, 1.6914817184191577)	('>10', 22.6210268223891)	('>50', 8.499300532551896)	('>100', 16.09917266758796)	('>500', 3.8127424983435896)	('>1k', 1.9100940488303866)	('>5k', 0.0)	('>10k+', 0.0)
KO_1_SRR10045016_2	(1.0, 19.871631726272287)	(2.0, 8.05202233875099)	(3.0, 5.5758901004313115)	(4.0, 4.252401633697321)	(5.0, 3.37307223676579)	(6.0, 2.7647279500081017)	(7.0, 2.4322137107639996)	(8.0, 2.1100517234126506)	(9.0, 1.8539906953601994)	('>10', 24.243065485510407)	('>50', 9.126036264847896)	('>100', 13.10468321279575)	('>500', 1.7357648022017589)	('>1k', 1.5044481191815346)	('>5k', 0.0)	('>10k+', 0.0)
KO_2_SRR10045017_1	(1.0, 17.991654107128664)	(2.0, 6.7071554694366045)	(3.0, 4.3025536082876865)	(4.0, 3.3686979017339267)	(5.0, 2.5829943857584565)	(6.0, 2.1887249730040232)	(7.0, 1.8945827357805878)	(8.0, 1.6216319564624535)	(9.0, 1.4485443698604015)	('>10', 19.983480600173976)	('>50', 7.960277278378861)	('>100', 18.83870319524304)	('>500', 6.708572680239443)	('>1k', 4.402426738511885)	('>5k', 0.0)	('>10k+', 0.0)
KO_2_SRR10045017_2	(1.0, 17.900810003166274)	(2.0, 7.177054833056482)	(3.0, 4.857671899916688)	(4.0, 3.706681931291339)	(5.0, 3.03314421683153)	(6.0, 2.4404942661551967)	(7.0, 2.084858723888942)	(8.0, 1.7405678562223021)	(9.0, 1.5742286523754663)	('>10', 21.513084411910093)	('>50', 8.740447784523203)	('>100', 19.038537416194135)	('>500', 3.463490327806229)	('>1k', 2.7289276766621273)	('>5k', 0.0)	('>10k+', 0.0)
KO_3_SRR10045018_1	(1.0, 21.65442696068443)	(2.0, 7.97645356493862)	(3.0, 5.011352805078877)	(4.0, 3.7457129764164043)	(5.0, 2.983455734192111)	(6.0, 2.409361334060401)	(7.0, 2.0534812207103226)	(8.0, 1.8491979950487378)	(9.0, 1.5321111241199636)	('>10', 21.431451247126283)	('>50', 8.14450629769433)	('>100', 15.81372275808944)	('>500', 4.156749119922581)	('>1k', 1.2380168619174843)	('>5k', 0.0)	('>10k+', 0.0)
KO_3_SRR10045018_2	(1.0, 20.958476174114157)	(2.0, 8.691850792776837)	(3.0, 5.675823736171156)	(4.0, 4.360530436607165)	(5.0, 3.3828015958086355)	(6.0, 2.777014255639125)	(7.0, 2.2452565068429524)	(8.0, 1.9809487372754515)	(9.0, 1.7648771468929514)	('>10', 23.580410920742203)	('>50', 8.766850271065707)	('>100', 13.475431455878391)	('>500', 0.8552506675249332)	('>1k', 1.4844773026603397)	('>5k', 0.0)	('>10k+', 0.0)
WT_1_SRR10045019_1	(1.0, 18.810171497892732)	(2.0, 7.319470055554472)	(3.0, 4.8197323831141885)	(4.0, 3.6193163810967315)	(5.0, 3.047758497958777)	(6.0, 2.4884653695883654)	(7.0, 2.1131710450572485)	(8.0, 1.8838616594309305)	(9.0, 1.6123934742290513)	('>10', 22.617759791670046)	('>50', 8.35546337074337)	('>100', 16.71295897573504)	('>500', 4.10037130165307)	('>1k', 2.4991061962759793)	('>5k', 0.0)	('>10k+', 0.0)
WT_1_SRR10045019_2	(1.0, 19.090774138221214)	(2.0, 8.094356698878007)	(3.0, 5.550178617776497)	(4.0, 4.146268129534362)	(5.0, 3.3762515961365716)	(6.0, 2.8806422127981244)	(7.0, 2.387219266664451)	(8.0, 2.0534216128281724)	(9.0, 1.8443252266760408)	('>10', 24.327229064394256)	('>50', 8.590126268013321)	('>100', 14.388623536012377)	('>500', 1.6857258603162457)	('>1k', 1.5848577717503827)	('>5k', 0.0)	('>10k+', 0.0)
WT_2_SRR10045020_1	(1.0, 16.098158916139685)	(2.0, 5.944932888562097)	(3.0, 3.7844128443513187)	(4.0, 2.8777209778056223)	(5.0, 2.27583292354438)	(6.0, 1.964389814821357)	(7.0, 1.757512603035685)	(8.0, 1.4577471702974563)	(9.0, 1.3052612987678225)	('>10', 18.05704875291353)	('>50', 7.265778737614438)	('>100', 19.539834436998092)	('>500', 8.237880669625612)	('>1k', 9.43348796552289)	('>5k', 0.0)	('>10k+', 0.0)
WT_2_SRR10045020_2	(1.0, 16.60611438872384)	(2.0, 6.497694349607079)	(3.0, 4.4669502216733665)	(4.0, 3.286115623955641)	(5.0, 2.6018516772997993)	(6.0, 2.234614352586886)	(7.0, 1.8763250770458282)	(8.0, 1.6228062862421164)	(9.0, 1.3918807652196343)	('>10', 18.807607552717972)	('>50', 8.171703045861467)	('>100', 22.484297655567904)	('>500', 5.330575455196496)	('>1k', 3.92453904527956)	('>5k', 0.6969245030224162)	('>10k+', 0.0)
WT_3_SRR10045021_1	(1.0, 18.3338577049943)	(2.0, 6.821216818118095)	(3.0, 4.3682144882298175)	(4.0, 3.29572021539222)	(5.0, 2.659057910646529)	(6.0, 2.227748176842966)	(7.0, 1.8796581244679242)	(8.0, 1.6453364252396807)	(9.0, 1.4526986910591235)	('>10', 20.398372456825204)	('>50', 7.370355026108695)	('>100', 18.59470898873237)	('>500', 6.4233754390710285)	('>1k', 4.5296795342720495)	('>5k', 0.0)	('>10k+', 0.0)
