Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
KO_1_SRR10045016_1	(36, 9.0)	(37, 6.0)	(38, 11.0)	(39, 4.0)	(40, 5.0)	(41, 6.0)	(42, 3.0)	(43, 2.0)	(44, 6.0)	(45, 5.0)	(46, 4.0)	(47, 7.0)	(48, 5.0)	(49, 5.0)	(50, 9.0)	(51, 8.0)	(52, 8.0)	(53, 4.0)	(54, 4.0)	(55, 11.0)	(56, 3.0)	(57, 6.0)	(58, 14.0)	(59, 13.0)	(60, 15.0)	(61, 11.0)	(62, 21.0)	(63, 20.0)	(64, 25.0)	(65, 28.0)	(66, 39.0)	(67, 32.0)	(68, 29.0)	(69, 60.0)	(70, 68.0)	(71, 84.0)	(72, 88.0)	(73, 89.0)	(74, 115.0)	(75, 144.0)	(76, 673136.0)
KO_1_SRR10045016_2	(36, 10.0)	(37, 6.0)	(38, 11.0)	(39, 4.0)	(40, 6.0)	(41, 8.0)	(42, 3.0)	(43, 2.0)	(44, 6.0)	(45, 5.0)	(46, 4.0)	(47, 8.0)	(48, 6.0)	(49, 5.0)	(50, 9.0)	(51, 9.0)	(52, 8.0)	(53, 4.0)	(54, 5.0)	(55, 11.0)	(56, 3.0)	(57, 7.0)	(58, 15.0)	(59, 13.0)	(60, 18.0)	(61, 15.0)	(62, 22.0)	(63, 21.0)	(64, 26.0)	(65, 43.0)	(66, 66.0)	(67, 379.0)	(68, 346.0)	(69, 94.0)	(70, 405.0)	(71, 1202.0)	(72, 88.0)	(73, 89.0)	(74, 115.0)	(75, 144.0)	(76, 670921.0)
KO_2_SRR10045017_1	(36, 5.0)	(37, 7.0)	(38, 7.0)	(39, 11.0)	(40, 7.0)	(41, 6.0)	(42, 4.0)	(43, 8.0)	(44, 5.0)	(45, 3.0)	(46, 6.0)	(47, 3.0)	(48, 6.0)	(49, 4.0)	(50, 8.0)	(51, 13.0)	(52, 6.0)	(53, 19.0)	(54, 10.0)	(55, 11.0)	(56, 10.0)	(57, 11.0)	(58, 16.0)	(59, 10.0)	(60, 16.0)	(61, 8.0)	(62, 15.0)	(63, 18.0)	(64, 23.0)	(65, 26.0)	(66, 29.0)	(67, 43.0)	(68, 37.0)	(69, 44.0)	(70, 72.0)	(71, 68.0)	(72, 90.0)	(73, 108.0)	(74, 124.0)	(75, 161.0)	(76, 800257.0)
KO_2_SRR10045017_2	(36, 9.0)	(37, 7.0)	(38, 10.0)	(39, 13.0)	(40, 7.0)	(41, 6.0)	(42, 9.0)	(43, 9.0)	(44, 5.0)	(45, 3.0)	(46, 6.0)	(47, 3.0)	(48, 10.0)	(49, 4.0)	(50, 8.0)	(51, 15.0)	(52, 6.0)	(53, 19.0)	(54, 11.0)	(55, 13.0)	(56, 11.0)	(57, 11.0)	(58, 16.0)	(59, 11.0)	(60, 17.0)	(61, 8.0)	(62, 17.0)	(63, 25.0)	(64, 25.0)	(65, 43.0)	(66, 61.0)	(67, 366.0)	(68, 373.0)	(69, 80.0)	(70, 468.0)	(71, 1276.0)	(72, 90.0)	(73, 108.0)	(74, 124.0)	(75, 161.0)	(76, 797871.0)
KO_3_SRR10045018_1	(36, 5.0)	(37, 3.0)	(38, 5.0)	(39, 13.0)	(40, 10.0)	(41, 7.0)	(42, 7.0)	(43, 8.0)	(44, 5.0)	(45, 1.0)	(46, 5.0)	(47, 5.0)	(48, 7.0)	(49, 7.0)	(50, 2.0)	(51, 6.0)	(52, 4.0)	(53, 4.0)	(54, 7.0)	(55, 8.0)	(56, 10.0)	(57, 7.0)	(58, 10.0)	(59, 14.0)	(60, 10.0)	(61, 13.0)	(62, 12.0)	(63, 18.0)	(64, 24.0)	(65, 26.0)	(66, 21.0)	(67, 26.0)	(68, 35.0)	(69, 41.0)	(70, 46.0)	(71, 55.0)	(72, 69.0)	(73, 96.0)	(74, 106.0)	(75, 128.0)	(76, 664131.0)
KO_3_SRR10045018_2	(36, 5.0)	(37, 3.0)	(38, 5.0)	(39, 13.0)	(40, 11.0)	(41, 8.0)	(42, 9.0)	(43, 8.0)	(44, 5.0)	(45, 2.0)	(46, 5.0)	(47, 5.0)	(48, 9.0)	(49, 7.0)	(50, 2.0)	(51, 8.0)	(52, 4.0)	(53, 5.0)	(54, 7.0)	(55, 8.0)	(56, 10.0)	(57, 7.0)	(58, 11.0)	(59, 14.0)	(60, 11.0)	(61, 16.0)	(62, 12.0)	(63, 23.0)	(64, 24.0)	(65, 44.0)	(66, 43.0)	(67, 290.0)	(68, 365.0)	(69, 63.0)	(70, 468.0)	(71, 1308.0)	(72, 69.0)	(73, 96.0)	(74, 106.0)	(75, 128.0)	(76, 661780.0)
WT_1_SRR10045019_1	(36, 8.0)	(37, 4.0)	(38, 4.0)	(39, 12.0)	(40, 5.0)	(41, 10.0)	(42, 6.0)	(43, 5.0)	(44, 3.0)	(45, 9.0)	(46, 6.0)	(47, 3.0)	(48, 5.0)	(49, 4.0)	(50, 2.0)	(51, 7.0)	(52, 8.0)	(53, 5.0)	(54, 5.0)	(55, 5.0)	(56, 14.0)	(57, 13.0)	(58, 13.0)	(59, 7.0)	(60, 10.0)	(61, 10.0)	(62, 11.0)	(63, 16.0)	(64, 27.0)	(65, 27.0)	(66, 22.0)	(67, 37.0)	(68, 41.0)	(69, 47.0)	(70, 54.0)	(71, 77.0)	(72, 83.0)	(73, 93.0)	(74, 113.0)	(75, 163.0)	(76, 738951.0)
WT_1_SRR10045019_2	(36, 8.0)	(37, 4.0)	(38, 6.0)	(39, 13.0)	(40, 6.0)	(41, 15.0)	(42, 7.0)	(43, 5.0)	(44, 4.0)	(45, 9.0)	(46, 6.0)	(47, 4.0)	(48, 6.0)	(49, 4.0)	(50, 2.0)	(51, 8.0)	(52, 9.0)	(53, 5.0)	(54, 5.0)	(55, 5.0)	(56, 14.0)	(57, 14.0)	(58, 15.0)	(59, 8.0)	(60, 11.0)	(61, 14.0)	(62, 12.0)	(63, 18.0)	(64, 27.0)	(65, 41.0)	(66, 50.0)	(67, 407.0)	(68, 387.0)	(69, 83.0)	(70, 436.0)	(71, 1371.0)	(72, 83.0)	(73, 93.0)	(74, 113.0)	(75, 163.0)	(76, 736454.0)
WT_2_SRR10045020_1	(36, 4.0)	(37, 9.0)	(38, 8.0)	(39, 12.0)	(40, 11.0)	(41, 10.0)	(42, 8.0)	(43, 6.0)	(44, 4.0)	(45, 6.0)	(46, 4.0)	(47, 7.0)	(48, 9.0)	(49, 10.0)	(50, 5.0)	(51, 4.0)	(52, 7.0)	(53, 7.0)	(54, 11.0)	(55, 12.0)	(56, 12.0)	(57, 11.0)	(58, 7.0)	(59, 18.0)	(60, 17.0)	(61, 22.0)	(62, 19.0)	(63, 34.0)	(64, 26.0)	(65, 35.0)	(66, 33.0)	(67, 46.0)	(68, 54.0)	(69, 60.0)	(70, 70.0)	(71, 102.0)	(72, 119.0)	(73, 106.0)	(74, 165.0)	(75, 191.0)	(76, 1022881.0)
WT_2_SRR10045020_2	(36, 6.0)	(37, 9.0)	(38, 9.0)	(39, 14.0)	(40, 11.0)	(41, 13.0)	(42, 8.0)	(43, 6.0)	(44, 4.0)	(45, 7.0)	(46, 4.0)	(47, 7.0)	(48, 11.0)	(49, 11.0)	(50, 7.0)	(51, 6.0)	(52, 7.0)	(53, 7.0)	(54, 12.0)	(55, 13.0)	(56, 13.0)	(57, 11.0)	(58, 9.0)	(59, 21.0)	(60, 20.0)	(61, 24.0)	(62, 22.0)	(63, 40.0)	(64, 27.0)	(65, 54.0)	(66, 82.0)	(67, 406.0)	(68, 496.0)	(69, 97.0)	(70, 559.0)	(71, 1601.0)	(72, 119.0)	(73, 106.0)	(74, 165.0)	(75, 191.0)	(76, 1019947.0)
