Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
KO_1_SRR10045016	18.022	93.3118	95.588681	1.3483239999999999	53.622800000000005	95.11663802566122	0.9507261835225332	76.0	76.0						
KO_1_SRR10045016_1										70.78692971071438	52.0	75.98655367700938	76	20.0	0.6741619999999999
KO_1_SRR10045016_2										69.7459509278963	54.0	75.96522645892233	76	20.0	0.6741619999999999
KO_2_SRR10045017	22.067	92.4318	112.552026	1.6026699999999998	55.297399999999996	94.57500935322867	1.0232491169017859	76.0	76.0						
KO_2_SRR10045017_1										73.59976228338344	54.0	75.98781533316279	76	30.0	0.8013349999999999
KO_2_SRR10045017_2										72.90134117762783	56.0	75.9681693673682	76	20.0	0.8013349999999999
KO_3_SRR10045018	10.1868	86.8101	87.72269	1.330034	54.1341	91.60278740845122	0.8080123529743972	76.0	76.0						
KO_3_SRR10045018_1										68.71587656252048	53.0	75.98763039140353	76	30.0	0.665017
KO_3_SRR10045018_2										68.35074297625795	54.0	75.96533321704558	76	20.0	0.665017
WT_1_SRR10045019	18.7927	93.4686	105.094197	1.47989	53.813900000000004	94.85841969509725	0.9372452092937393	76.0	76.0						
WT_1_SRR10045019_1										71.87446935124638	53.0	75.9882396664617	76	20.0	0.739945
WT_1_SRR10045019_2										70.53030851512983	54.0	75.96630560379488	76	20.0	0.739945
WT_2_SRR10045020	26.61	92.96940000000001	144.691799	2.048364	55.534099999999995	94.34335246271613	1.1525529896185485	76.0	76.0						
WT_2_SRR10045020_1										76.4231633275432	54.0	75.98885354360846	76	30.0	1.024182
WT_2_SRR10045020_2										75.08603531772846	56.0	75.97026700332557	76	20.0	1.024182
WT_3_SRR10045021	14.2994	87.22290000000001	101.18548	1.526854	54.956799999999994	91.39959509759201	0.9846599214858075	76.0	76.0						
WT_3_SRR10045021_1										73.15576393687448	54.0	75.98608773333928	76	30.0	0.763427
WT_3_SRR10045021_2										71.18241265103443	55.0	75.97075948322498	76	20.0	0.763427
