Module	Section	Sample Name	Source
fastp	all_sections	KO_1_SRR10045016	/home/raiyan/project/genomics/qc_reports/fastp/KO_1_SRR10045016.json
fastp	all_sections	KO_2_SRR10045017	/home/raiyan/project/genomics/qc_reports/fastp/KO_2_SRR10045017.json
fastp	all_sections	KO_3_SRR10045018	/home/raiyan/project/genomics/qc_reports/fastp/KO_3_SRR10045018.json
fastp	all_sections	WT_1_SRR10045019	/home/raiyan/project/genomics/qc_reports/fastp/WT_1_SRR10045019.json
fastp	all_sections	WT_2_SRR10045020	/home/raiyan/project/genomics/qc_reports/fastp/WT_2_SRR10045020.json
fastp	all_sections	WT_3_SRR10045021	/home/raiyan/project/genomics/qc_reports/fastp/WT_3_SRR10045021.json
FastQC	all_sections	KO_1_SRR10045016_1	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/KO_1_SRR10045016_1.trimmed_fastqc.zip
FastQC	all_sections	KO_1_SRR10045016_2	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/KO_1_SRR10045016_2.trimmed_fastqc.zip
FastQC	all_sections	KO_2_SRR10045017_1	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/KO_2_SRR10045017_1.trimmed_fastqc.zip
FastQC	all_sections	KO_2_SRR10045017_2	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/KO_2_SRR10045017_2.trimmed_fastqc.zip
FastQC	all_sections	KO_3_SRR10045018_1	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/KO_3_SRR10045018_1.trimmed_fastqc.zip
FastQC	all_sections	KO_3_SRR10045018_2	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/KO_3_SRR10045018_2.trimmed_fastqc.zip
FastQC	all_sections	WT_1_SRR10045019_1	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/WT_1_SRR10045019_1.trimmed_fastqc.zip
FastQC	all_sections	WT_1_SRR10045019_2	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/WT_1_SRR10045019_2.trimmed_fastqc.zip
FastQC	all_sections	WT_2_SRR10045020_1	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/WT_2_SRR10045020_1.trimmed_fastqc.zip
FastQC	all_sections	WT_2_SRR10045020_2	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/WT_2_SRR10045020_2.trimmed_fastqc.zip
FastQC	all_sections	WT_3_SRR10045021_1	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/WT_3_SRR10045021_1.trimmed_fastqc.zip
FastQC	all_sections	WT_3_SRR10045021_2	/home/raiyan/project/genomics/qc_reports/fastqc_trimmed/WT_3_SRR10045021_2.trimmed_fastqc.zip
