UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
2874	1259
26	810
0	34
0	377
180	1006
4703	98
0	97
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
6	1620
196	1776
42	1797
27	1610
0	1597
0	0
2038	81
2196	710
63	631
2	77
12	1855
19	1749
0	1725
4	806
7	38
3	388
1	79
0	18
0	13
0	3
0	78
0	0
1	0
1	0
0	0
0	0
0	0
480	206
0	211
1	145
0	87
0	49
0	19
5	97
0	1068
2	1028
0	9
0	24
2	41
0	110
0	111
0	110
0	75
0	95
0	77
0	2812
81	1622
2	2139
25	1005
31	1769
9	14
0	12
0	1010
39	903
0	0
0	0
0	0
11	3
0	4219
4	267
0	189
29	4282
0	5639
0	4434
0	5785
0	4385
0	5503
1	164
0	792
3	22
5	491
0	175
0	390
3	340
4	37
8	300
4	107
2	6
0	387
0	387
0	394
0	314
0	9
0	321
0	3
0	1
0	2
1	3301
1	3737
0	3311
0	0
0	0
0	0
0	0
0	0
2	0
0	0
3	2046
35	2858
533	5424
8	4460
1	708
2	1094
2	732
2	1320
4	14
2	1
8	8
0	6
0	6
0	6
0	6
0	6
0	4
0	6
0	0
0	0
0	0
0	3
0	3
0	3
0	5
19	1933
13	1933
0	4
0	200
0	183
0	146
0	113
1	60
0	2
0	0
17	7219
0	643
38	7077
0	7397
141	1210
13	7139
5	6893
0	5832
19	1827
1	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	14
0	1
0	1
0	14
0	9
0	3
0	9
1	1
0	1
0	9
0	9
1	9
0	587
0	493
12	121
5	534
1	311
1	70
0	124
0	152
0	135
4	395
0	299
0	391
5	253
0	24
8	60
0	213
2	160
0	43
1	114
1	151
23	43
0	0
4	3
0	270
9	240
14	161
7	3605
4	5
0	5
0	1199
0	1514
140	1519
1	904
2	1044
3	256
1	108
22	2
6	968
0	1099
0	967
17	962
0	64
1	26
0	11
1	14
0	764
15	2242
6	676
293	2128
0	669
203	0
0	1363
0	1014
0	1014
0	1014
0	266
10	234
0	0
1	448
3	4
2	100
0	0
0	27
0	0
0	0
0	0
0	0
0	0
0	0
41	516
6	272
0	869
0	1186
81	988
0	955
11	1189
0	1268
1	62
6	277
0	1020
1	182
1	465
3	2
127	3644
11	2368
1	2903
2	1017
4	2702
0	691
15	1513
0	160
2	2450
0	2423
0	2093
0	438
0	2440
0	2502
0	21
1	2256
29	2267
0	2257
0	478
0	2480
0	2168
0	2217
0	161
0	2254
0	479
34	2517
1	2438
0	719
1	2137
0	85
0	5
0	2
0	8
0	6
0	28
0	17
1	9
0	60
0	25
0	25
0	25
0	37
0	37
0	22
