UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
2912	1570
16	1000
0	32
0	464
372	1289
4522	82
0	80
0	1
0	0
1	1
0	2
0	1
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
5	2182
310	2365
50	2381
65	2192
0	2187
0	0
3508	95
2316	776
61	673
2	101
26	2199
27	2088
1	2033
15	935
15	43
3	446
3	68
0	11
0	10
0	3
0	68
0	0
1	0
3	2
0	0
0	0
0	0
661	291
2	297
2	229
2	152
2	79
2	21
3	138
0	1348
1	1295
1	11
1	31
4	46
0	134
0	135
0	134
0	82
2	116
0	83
0	3407
151	1981
5	2603
53	1243
52	2164
12	18
1	19
0	1187
68	1048
0	0
0	0
0	0
11	7
0	5081
5	326
3	210
38	5170
0	6765
0	5340
0	6935
0	5231
0	6560
1	195
0	985
1	24
3	570
0	172
0	455
6	408
8	43
8	389
2	126
0	9
0	465
0	471
0	493
0	389
0	23
0	417
0	3
0	1
0	1
3	3895
1	4497
1	3941
0	0
0	0
0	0
0	0
0	0
3	0
0	0
1	2276
43	3192
651	5957
2	4908
0	835
5	1152
0	843
5	1514
2	22
1	1
2	15
1	2
0	1
0	1
0	2
0	2
0	1
0	1
0	5
0	5
0	1
0	6
0	7
0	7
0	7
17	1663
20	1663
1	7
0	230
0	218
2	171
0	141
0	63
0	4
0	0
22	6408
0	587
35	6308
0	6592
13	992
0	6148
0	6042
0	5226
0	1629
1	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	3
0	23
0	1
0	0
0	23
0	12
0	5
0	12
0	3
0	3
0	12
0	12
1	12
2	616
0	509
18	147
2	573
0	351
1	88
4	148
0	141
0	162
1	419
0	299
2	416
3	249
2	23
2	50
0	198
2	162
3	49
0	126
1	162
22	50
0	0
2	0
0	384
7	343
9	210
9	3836
55	22
0	22
1	1844
0	2326
199	2342
4	1423
1	1621
4	369
2	163
22	6
3	1276
0	1453
1	1306
20	1301
0	98
2	35
1	21
3	18
0	1184
21	3427
15	1041
448	3251
0	1014
202	0
0	1055
0	803
0	803
0	803
0	233
8	202
0	0
0	335
16	6
6	84
0	0
0	23
0	0
0	0
0	0
0	0
0	0
0	0
29	463
9	270
0	769
0	1080
80	897
0	864
12	1097
0	1172
1	66
7	276
3	958
0	186
0	413
1	0
173	3966
11	2599
0	3171
3	1152
6	2976
0	837
15	1630
2	172
2	2603
0	2586
0	2236
0	510
0	2610
0	2667
0	11
0	2428
22	2434
0	2427
0	532
0	2643
0	2325
0	2389
0	169
0	2438
0	531
43	2671
0	2598
0	824
2	2258
0	109
0	3
3	1
0	7
0	3
0	12
0	4
0	6
0	29
0	15
0	15
0	15
0	20
0	20
