transcript_id	gene_id
ENST00000652328	ENSG00000286057
ENST00000652246	ENSG00000286146
ENST00000616920	ENSG00000278678
ENST00000624595	ENSG00000279647
ENST00000624662	ENSG00000280372
ENST00000431829	ENSG00000179381
ENST00000624291	ENSG00000278931
ENST00000651888	ENSG00000286148
ENST00000623201	ENSG00000280436
ENST00000624968	ENSG00000279720
ENST00000623518	ENSG00000279477
ENST00000623962	ENSG00000279303
ENST00000619252	ENSG00000274333
ENST00000623449	ENSG00000274333
ENST00000623436	ENSG00000274333
ENST00000624627	ENSG00000274333
ENST00000624368	ENSG00000274333
ENST00000623914	ENSG00000274333
ENST00000624516	ENSG00000274333
ENST00000624412	ENSG00000274333
ENST00000622939	ENSG00000274333
ENST00000623050	ENSG00000274333
ENST00000624444	ENSG00000274333
ENST00000623887	ENSG00000274333
ENST00000611026	ENSG00000274333
ENST00000625598	ENSG00000280614
ENST00000623165	ENSG00000280018
ENST00000624519	ENSG00000280018
ENST00000623347	ENSG00000280018
ENST00000624728	ENSG00000280018
ENST00000624153	ENSG00000280330
ENST00000430815	ENSG00000240770
ENST00000430401	ENSG00000240770
ENST00000439392	ENSG00000240770
ENST00000433427	ENSG00000234159
ENST00000282964	ENSG00000229336
ENST00000623954	ENSG00000279062
ENST00000671206	ENSG00000224141
ENST00000355189	ENSG00000224141
ENST00000414582	ENSG00000224141
ENST00000653218	ENSG00000224141
ENST00000437492	ENSG00000224141
ENST00000656413	ENSG00000224141
ENST00000425091	ENSG00000233676
ENST00000445481	ENSG00000226580
ENST00000450653	ENSG00000235965
ENST00000452500	ENSG00000227075
ENST00000433383	ENSG00000225735
ENST00000440372	ENSG00000232193
ENST00000662613	ENSG00000288094
ENST00000425058	ENSG00000226771
ENST00000358455	ENSG00000198618
ENST00000413933	ENSG00000226818
ENST00000624906	ENSG00000279177
ENST00000651312	ENSG00000286033
ENST00000433524	ENSG00000234340
ENST00000447175	ENSG00000231755
ENST00000262354	ENSG00000228592
ENST00000665559	ENSG00000228592
ENST00000653972	ENSG00000228592
ENST00000661065	ENSG00000228592
ENST00000664912	ENSG00000228592
ENST00000656174	ENSG00000228592
ENST00000655729	ENSG00000228592
ENST00000654898	ENSG00000228592
ENST00000425085	ENSG00000237569
ENST00000651830	ENSG00000286155
ENST00000623723	ENSG00000279064
ENST00000284885	ENSG00000154646
ENST00000422787	ENSG00000154646
ENST00000474775	ENSG00000154646
ENST00000619242	ENSG00000275592
ENST00000406845	ENSG00000219368
ENST00000673790	ENSG00000288578
ENST00000623374	ENSG00000277991
ENST00000624633	ENSG00000277991
ENST00000623190	ENSG00000277991
ENST00000623637	ENSG00000277991
ENST00000623783	ENSG00000277991
ENST00000625005	ENSG00000277991
ENST00000623797	ENSG00000277991
ENST00000623643	ENSG00000277991
ENST00000438328	ENSG00000225906
ENST00000444901	ENSG00000228184
ENST00000424017	ENSG00000244278
ENST00000668921	ENSG00000287801
ENST00000617062	ENSG00000276077
ENST00000625096	ENSG00000276077
ENST00000624791	ENSG00000276077
ENST00000624907	ENSG00000276077
ENST00000624461	ENSG00000276077
ENST00000625115	ENSG00000276077
ENST00000610988	ENSG00000276077
ENST00000614260	ENSG00000273872
ENST00000623370	ENSG00000279851
ENST00000429271	ENSG00000215326
ENST00000426609	ENSG00000223870
ENST00000624042	ENSG00000279895
ENST00000623236	ENSG00000279501
ENST00000284878	ENSG00000154639
ENST00000400166	ENSG00000154639
ENST00000356275	ENSG00000154639
ENST00000400165	ENSG00000154639
ENST00000400169	ENSG00000154639
ENST00000622028	ENSG00000277282
ENST00000661152	ENSG00000287612
ENST00000447985	ENSG00000215005
ENST00000444130	ENSG00000226043
ENST00000654607	ENSG00000226043
ENST00000667099	ENSG00000226043
ENST00000416327	ENSG00000233215
ENST00000420255	ENSG00000233215
ENST00000419467	ENSG00000233215
ENST00000656955	ENSG00000233215
ENST00000667604	ENSG00000233215
